epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,10007.7,1.38882,0.77212,0.00805,0.95311,0.82332,0.91687,0.83457,0.53944,0.46099,0.01045,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10118.6,1.37413,0.76609,0.00799,0.94866,0.82601,0.91546,0.83425,0.53616,0.46564,0.01035,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10229.9,1.38602,0.76532,0.00799,0.93808,0.82888,0.91563,0.83301,0.54058,0.45556,0.01049,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10339.5,1.38603,0.76925,0.00794,0.94904,0.8278,0.9164,0.83429,0.53751,0.46188,0.01034,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10450.1,1.37398,0.76512,0.00789,0.94555,0.82542,0.91632,0.83408,0.53688,0.46838,0.01032,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10561.9,1.37974,0.76849,0.0079,0.93891,0.82704,0.9145,0.83252,0.53694,0.46828,0.01032,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10672.8,1.36993,0.75314,0.00788,0.93804,0.82827,0.91465,0.83276,0.53654,0.47293,0.01033,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10787.9,1.37127,0.7595,0.00781,0.92892,0.83049,0.9136,0.83157,0.5371,0.47262,0.01035,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10919.7,1.41243,0.71541,0.00886,0.93345,0.8278,0.91317,0.83176,0.53847,0.46984,0.01036,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,11023.5,1.41039,0.71292,0.00886,0.93533,0.83023,0.91402,0.83324,0.53878,0.467,0.01034,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,11130.5,1.40106,0.7012,0.00869,0.93325,0.82758,0.91323,0.83145,0.53881,0.47024,0.01035,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,11246.1,1.39616,0.70745,0.00869,0.94283,0.82511,0.91413,0.83275,0.53763,0.47167,0.01034,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11357.1,1.39042,0.70443,0.00856,0.94799,0.82511,0.91449,0.83394,0.53815,0.46949,0.01036,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11469.3,1.38667,0.69935,0.00858,0.94916,0.82044,0.91324,0.83287,0.53801,0.47269,0.01035,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11581,1.38721,0.69208,0.00853,0.93734,0.8318,0.91322,0.83379,0.53851,0.4712,0.01034,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11692.4,1.38187,0.69401,0.00849,0.94789,0.82332,0.91412,0.83427,0.53866,0.47408,0.01034,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11803.3,1.38005,0.69106,0.00847,0.94475,0.82812,0.91379,0.83422,0.53867,0.47778,0.01034,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11919.1,1.37054,0.68817,0.00844,0.94759,0.82422,0.91402,0.83394,0.53783,0.47954,0.01034,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
